date,meal_time,item,weight_g,calories,protein,carbs,fat
2026-02-15,20:01,Chicken Breast,80.0,132.0,24.8,0.0,2.9
2026-02-15,20:01,Sliced Apple,70.0,36.4,0.2,9.7,0.1
2026-02-15,20:01,Mixed Greens,40.0,60.0,3.2,8.0,2.0
2026-02-15,20:01,Red Wine,150.0,225.0,12.0,30.0,7.5
2026-02-15,20:01,Dried Cranberries,10.0,15.0,0.8,2.0,0.5
2026-02-15,20:01,Slivered Almonds,5.0,29.0,1.1,1.1,2.5
2026-02-15,22:33,White Rice,180.0,234.0,4.9,50.8,0.5
2026-02-15,22:33,Fried Chicken,95.0,154.8,3.9,20.9,6.2
2026-02-15,22:33,Pinto Beans,75.0,99.0,6.7,17.8,0.4
2026-02-15,22:33,Sautéed Peppers and Onions,65.0,26.0,0.7,6.0,0.1
2026-02-15,22:33,Corn,50.0,48.0,1.7,10.5,0.8
2026-02-15,22:33,Sour Cream,30.0,62.4,0.7,2.0,5.8
2026-02-15,22:33,Pico de Gallo,40.0,6.8,0.3,1.5,0.0
2026-02-15,22:33,Hidden Fat,22.0,194.5,0.0,0.0,22.0
